"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"2446","Union County, Georgia",81.8091203588,12039,17.1,82.9,21.6,8.2,76.3,23450.56222,3,2.2,0.08,49.9,0.178,0.13,0.266,0.139,85.2,48.5,0.234,0.074,60.47,NA,94.9,NA,1421.638,"Trump"
"2447","Webster County, Georgia",56.552962298,1114,21.9,78.1,7.9,3.8,77.9,23396.770795,NA,NA,0.17,38.4,0.477,NA,0.311,0.137,286.6,NA,0.249,0.083,35.26,NA,NA,NA,1263.142,"Trump"
"2448","Hawaii County, Hawaii",26.9791104602,64865,9.5,90.5,26.6,8.1,76.8,27904.35651,3.3,3.2,0.08,45.3,0.398,0.187,0.241,0.082,312.2,198.8,0.106,0.083,267.2,2.19,67.9,7,NA,"Clinton"
"2449","Buchanan County, Iowa",54.2961428431,10137,9.5,90.5,18.5,5,75.7,27996.89905,3.4,2.1,0.06,25.7,0.185,0.18,0.3,0.098,157.7,NA,0.103,0.051,84.1,NA,49.5,NA,923.036,"Trump"
"2450","Butler County, Iowa",65.9514550087,7457,12,88,14.9,3.5,78.1,27898.235555,NA,2,0.06,20.8,0.255,0.104,0.272,0.082,187.4,40.7,0.106,0.044,29.3,NA,82,NA,898.017,"Trump"
"2451","Cass County, Iowa",67.3990077959,7055,8.9,91.1,14.5,3.5,72.05,23159.971745,1.5,3,0.07,38.3,0.275,0.154,0.354,0.086,289.5,NA,0.113,0.053,139.04,NA,84.5,NA,913.765,"Trump"
"2452","Clarke County, Iowa",61.4301929625,4405,15.2,84.8,12.9,3.1,73.45,25957.464445,NA,NA,0.08,54.7,0.238,0.327,0.313,0.083,256.5,66.3,0.133,0.062,126.71,NA,65.1,NA,964.946,"Trump"
"2453","Lee County, Iowa",55.131189832,15893,13.7,86.3,14.8,5,77.2,24475.978095,3.8,2.5,0.08,46.5,0.407,0.207,0.353,0.096,356.5,39.4,0.113,0.08,578.5,NA,71.7,NA,999.236,"Trump"
"2454","Poweshiek County, Iowa",50.9233467451,9693,7.9,92.1,21.7,8.8,87.5,22880.666665,2.7,2.9,0.06,19.1,0.283,0.169,0.294,0.081,223.4,43.4,0.092,0.051,108.04,NA,56.8,NA,931.333333333,"Trump"
"2455","Benewah County, Idaho",73.9742366412,4192,12.8,87.2,12.1,4.2,71.2,21071.84889,4.3,4,0.08,53.8,0.347,0.263,0.266,0.115,184.6,NA,0.215,0.12,249.96,NA,86,NA,NA,"Trump"
"2456","Boundary County, Idaho",73.572815534,5150,17.1,82.9,12.9,3.7,68.15,22588.66603,4.1,3.7,0.03,31.8,0.207,0.158,0.256,0.085,157.3,NA,0.235,0.1,117.81,NA,94.6,NA,523.748,"Trump"
"2457","Fremont County, Idaho",71.596079804,5714,15,85,19.8,4.7,68.25,21377.59492,3,3.2,0.07,39,0.085,0.169,0.237,0.089,160,NA,0.253,0.065,73.95,NA,58.2,NA,NA,"Trump"
"2458","Idaho County, Idaho",78.3290769792,8223,14.3,85.7,12.3,3.3,67.85,19173.7727,4,3,0.05,31,0.354,0.182,0.281,0.105,121.6,54.3,0.213,0.093,103.95,NA,99.1,NA,NA,"Trump"
"2459","Coles County, Illinois",60.171455051,21580,10.7,89.3,23.3,9.7,84.65,14678.738415,3.5,3.1,0.07,20.1,0.363,0.105,0.294,0.077,578.7,66.3,0.133,0.089,272.45,2.67,53.4,5.5,1022.94266667,"Trump"
"2460","De Witt County, Illinois",67.9073503816,7469,9.7,90.3,15.7,2.8,79.05,28493.650475,NA,NA,0.09,35.5,0.307,NA,0.303,0.096,205.1,NA,0.111,0.08,NA,NA,61.2,NA,1009.523,"Trump"
"2461","Fayette County, Illinois",77.3830793484,9515,17.1,82.9,14.3,5.3,75.1,25467.58508,NA,3.6,0.09,44.5,0.259,0.183,0.322,0.102,230.4,362.5,0.141,0.105,156.12,NA,67.2,NA,1039.368,"Trump"
